"","district_reporting","shelter_type_severe_perc","no_shelter_open_perc","shelter_destroyed_extreme_perc","shelter_destroyed_severe_perc","nfi_market_perc","shelter_type_severe","no_shelter_open","shelter_destroyed_extreme","shelter_destroyed_severe","nfi_market","htr_esnfi_score","htr_esnfi_rank","htr_esnfi_rank_high"
"1","ab_band",0,0.166666666666667,0,0,0.555555555555556,0,0,0,0,2,2,1,0
"2","alishang",0,0.303030303030303,0,0.181818181818182,0.909090909090909,0,1,0,0,4,5,2,0
"3","almar",0.138888888888889,0.25,0,0.138888888888889,0.888888888888889,0,0,0,0,4,4,1,0
"4","andar",0,0.795454545454545,0.0227272727272727,0.0454545454545455,0.931818181818182,0,2,0,0,4,6,2,0
"5","andkhoy",0,0.136363636363636,0,0.272727272727273,0.772727272727273,0,0,0,2,4,6,2,0
"6","arghandab_zabul",0,0.03125,0,0.0625,1,0,0,0,0,4,4,1,0
"7","arghestan",0,0.510204081632653,0,0.0612244897959184,0.836734693877551,0,2,0,0,4,6,2,0
"8","baghlan_e_jadid",0.148936170212766,0,0,0,0.170212765957447,0,0,0,0,0,0,1,0
"9","baghran",0,0.473684210526316,0,0,0.921052631578947,0,1,0,0,4,5,2,0
"10","bakwa",0,0,0,0,0.72,0,0,0,0,2,2,1,0
"11","bala_buluk",0,0.2,0.166666666666667,0.1,0.866666666666667,0,0,0,0,4,4,1,0
"12","bala_murghab",0.352941176470588,0.0588235294117647,0.0588235294117647,0.294117647058824,0.823529411764706,2,0,0,2,4,8,2,0
"13","bar_kunar",0,0,0,0,0.866666666666667,0,0,0,0,4,4,1,0
"14","barmal",0.147058823529412,0.411764705882353,0.0588235294117647,0.0294117647058824,0.529411764705882,0,1,0,0,2,3,1,0
"15","bilcheragh",0.5,0,0,0.166666666666667,1,2,0,0,0,4,6,2,0
"16","chahar_darah",0.0980392156862745,0.137254901960784,0.0196078431372549,0.0980392156862745,0.980392156862745,0,0,0,0,4,4,1,0
"17","chak_e_wardak",0,0.027027027027027,0,0.0810810810810811,0.540540540540541,0,0,0,0,2,2,1,0
"18","chapa_dara",0.0434782608695652,0,0,0.0434782608695652,0.869565217391304,0,0,0,0,4,4,1,0
"19","chaparhar",0,0.219512195121951,0,0,0.878048780487805,0,0,0,0,4,4,1,0
"20","charsadra",0.666666666666667,0,0,0.6,0.933333333333333,4,0,0,4,4,12,3,1
"21","chinarto",0.117647058823529,0.117647058823529,0.705882352941177,0.294117647058824,0.941176470588235,0,0,6,2,4,12,3,1
"22","chora",0.0833333333333333,0.166666666666667,0.833333333333333,0.0833333333333333,1,0,0,6,0,4,10,3,1
"23","dahana_e_ghori",0.16,0,0,0,0.68,0,0,0,0,2,2,1,0
"24","dara_e_pech",0,0.0588235294117647,0,0,0.852941176470588,0,0,0,0,4,4,1,0
"25","dasht_e_archi",0.0769230769230769,0.230769230769231,0,0.0384615384615385,0.538461538461538,0,0,0,0,2,2,1,0
"26","dawlat_abad_faryab",0.285714285714286,0.928571428571429,0.428571428571429,0,0.5,2,2,3,0,0,7,2,0
"27","daychopan",0,0,0,0,1,0,0,0,0,4,4,1,0
"28","deh_bala",0,0.0384615384615385,0.0384615384615385,0.192307692307692,1,0,0,0,0,4,4,1,0
"29","deh_e_shu",0.03125,0.09375,0.03125,0.1875,0.9375,0,0,0,0,4,4,1,0
"30","deh_yak",0,0.2,0.0666666666666667,0,0.733333333333333,0,0,0,0,2,2,1,0
"31","dehrawud",0.08,0.04,0,0,0.68,0,0,0,0,2,2,1,0
"32","eshkmesh",0,0.375,0.1875,0.3125,0,0,1,0,2,0,3,1,0
"33","farah",0.181818181818182,0.272727272727273,0.0303030303030303,0.0606060606060606,0.909090909090909,0,1,0,0,4,5,2,0
"34","garmser",0,0.222222222222222,0.194444444444444,0.222222222222222,0.111111111111111,0,0,0,0,0,0,1,0
"35","garzewan",0.166666666666667,0.333333333333333,0.133333333333333,0.4,0.866666666666667,0,1,0,2,4,7,2,0
"36","ghazi_abad",0,0.0434782608695652,0,0,0.826086956521739,0,0,0,0,4,4,1,0
"37","ghorak",0,0.882352941176471,0,0.294117647058824,0,0,2,0,2,0,4,1,0
"38","ghormach",0.0416666666666667,0.25,0,0.166666666666667,0.666666666666667,0,0,0,0,2,2,1,0
"39","giro",0,0.0952380952380952,0.0476190476190476,0.0952380952380952,0.952380952380952,0,0,0,0,4,4,1,0
"40","gomal",0.314285714285714,0.514285714285714,0.114285714285714,0.0857142857142857,0.771428571428571,2,2,0,0,4,8,2,0
"41","hesarak",0,0,0.0303030303030303,0.727272727272727,1,0,0,0,4,4,8,2,0
"42","imam_sahib",0.0166666666666667,0.466666666666667,0.0833333333333333,0.05,0.0666666666666667,0,1,0,0,0,1,1,0
"43","jawand",0.805555555555556,0.180555555555556,0.0416666666666667,0.0694444444444444,0.638888888888889,4,0,0,0,2,6,2,0
"44","jorm",0,0.583333333333333,0.0833333333333333,0.25,0.625,0,2,0,0,2,4,1,0
"45","kakar",0,0.0540540540540541,0,0,0.027027027027027,0,0,0,0,0,0,1,0
"46","khak_e_safed",0,0,0.125,0.625,1,0,0,0,4,4,8,2,0
"47","khakrez",0.25,0.25,0.0277777777777778,0.333333333333333,0.694444444444444,0,0,0,2,2,4,1,0
"48","khan_abad",0,0.428571428571429,0.142857142857143,0.214285714285714,0.142857142857143,0,1,0,0,0,1,1,0
"49","khas_kunar",0,0.2,0,0.05,0.65,0,0,0,0,2,2,1,0
"50","khas_uruzgan",0.0869565217391304,0.173913043478261,0.0434782608695652,0.108695652173913,0.760869565217391,0,0,0,0,4,4,1,0
"51","khogyani",0,0.0512820512820513,0,0.0769230769230769,0.897435897435897,0,0,0,0,4,4,1,0
"52","khwaja_gahr",0,0.346153846153846,0.0384615384615385,0.0769230769230769,0.0384615384615385,0,1,0,0,0,1,1,0
"53","khwaja_sabz_posh",0,0.4,0.25,0.4,1,0,1,0,2,4,7,2,0
"54","kot",0,0.142857142857143,0,0,1,0,0,0,0,4,4,1,0
"55","lashkargah",0.0303030303030303,0,0,0.0606060606060606,0.181818181818182,0,0,0,0,0,0,1,0
"56","marawara",0.0666666666666667,0.133333333333333,0,0.133333333333333,0.933333333333333,0,0,0,0,4,4,1,0
"57","maruf",0.038961038961039,0.116883116883117,0,0.025974025974026,0.974025974025974,0,0,0,0,4,4,1,0
"58","maywand",0,0.0227272727272727,0.0454545454545455,0.136363636363636,0.409090909090909,0,0,0,0,0,0,1,0
"59","mohammad_agha",0,0.131578947368421,0.0789473684210526,0.0789473684210526,0.657894736842105,0,0,0,0,2,2,1,0
"60","muhmand_dara",0,0.235294117647059,0,0,0.823529411764706,0,0,0,0,4,4,1,0
"61","muqur_badghis",0.0833333333333333,0.666666666666667,0,0,0.583333333333333,0,2,0,0,2,4,1,0
"62","muqur_ghazni",0,0.0344827586206897,0,0,0.586206896551724,0,0,0,0,2,2,1,0
"63","musa_qala",0,0,0,0,0.962962962962963,0,0,0,0,4,4,1,0
"64","nad_e_ali",0,0.0625,0.0625,0.0625,0.6875,0,0,0,0,2,2,1,0
"65","nahr_e_seraj",0,0.072463768115942,0,0.27536231884058,0.579710144927536,0,0,0,2,2,4,1,0
"66","nawzad",0.111111111111111,0.133333333333333,0.0222222222222222,0.155555555555556,0.866666666666667,0,0,0,0,4,4,1,0
"67","nesh",0,0.0909090909090909,0.0909090909090909,0,0.545454545454545,0,0,0,0,2,2,1,0
"68","pasaband",0.0408163265306122,0.306122448979592,0,0.0204081632653061,0.918367346938776,0,1,0,0,4,5,2,0
"69","pashtun_kot",0.12280701754386,0.859649122807018,0.0350877192982456,0.087719298245614,0.929824561403509,0,2,0,0,4,6,2,0
"70","pul_e_khumri",0.386363636363636,0.227272727272727,0.0454545454545455,0.363636363636364,0.522727272727273,2,0,0,2,2,6,2,0
"71","pur_chaman",0.253968253968254,0.46031746031746,0.0158730158730159,0.0476190476190476,0.825396825396825,0,1,0,0,4,5,2,0
"72","pusht_rod",0,0.166666666666667,0,0,1,0,0,0,0,4,4,1,0
"73","qaisar",0.0465116279069767,0.581395348837209,0.0697674418604651,0.13953488372093,0.255813953488372,0,2,0,0,0,2,1,0
"74","qala_e_zal",0,0.15,0,0.15,0.5,0,0,0,0,0,0,1,0
"75","qarabagh",0,0.0126582278481013,0,0,0.784810126582278,0,0,0,0,4,4,1,0
"76","raghestan",0,0.0606060606060606,0,0,0.636363636363636,0,0,0,0,2,2,1,0
"77","reg",1,0.65,0,0,1,4,2,0,0,4,10,3,1
"78","reg_i_khan_nishin",0,0,0.235294117647059,0.235294117647059,0.705882352941177,0,0,0,0,2,2,1,0
"79","rostaq",0,0.0454545454545455,0,0.0454545454545455,0.0227272727272727,0,0,0,0,0,0,1,0
"80","sabari",0,0,0,0,0.05,0,0,0,0,0,0,1,0
"81","sangin",0,0.0740740740740741,0.037037037037037,0.111111111111111,0.703703703703704,0,0,0,0,2,2,1,0
"82","sarobi",0,0.0666666666666667,0,0.133333333333333,0.966666666666667,0,0,0,0,4,4,1,0
"83","sayed_abad",0,0,0,0,0.766666666666667,0,0,0,0,4,4,1,0
"84","shah_joi",0,0.0232558139534884,0,0.0232558139534884,0.953488372093023,0,0,0,0,4,4,1,0
"85","shah_wali_kot",0.0892857142857143,0.589285714285714,0.125,0.410714285714286,0.482142857142857,0,2,0,2,0,4,1,0
"86","shahid_e_hassas",0,0.789473684210526,0.210526315789474,0.684210526315789,0.368421052631579,0,2,0,4,0,6,2,0
"87","sheltan",0.111111111111111,0.111111111111111,0,0.222222222222222,1,0,0,0,0,4,4,1,0
"88","sher_zad",0,0,0.161290322580645,0.451612903225806,0.903225806451613,0,0,0,2,4,6,2,0
"89","shigal",0,0.0740740740740741,0,0,1,0,0,0,0,4,4,1,0
"90","shindand",0,0.0588235294117647,0,0.235294117647059,0.588235294117647,0,0,0,0,2,2,1,0
"91","shirin_tagab",0,0.217391304347826,0.391304347826087,0.304347826086957,0.217391304347826,0,0,3,2,0,5,2,0
"92","sozmaqala",0,0,0.0196078431372549,0.117647058823529,0.803921568627451,0,0,0,0,4,4,1,0
"93","surkh_rod",0.0975609756097561,0.195121951219512,0,0,0.951219512195122,0,0,0,0,4,4,1,0
"94","tirinkot",0,1,0,0.896551724137931,0.655172413793103,0,2,0,4,2,8,2,0
"95","urgun",0,0.03125,0,0.125,0.0625,0,0,0,0,0,0,1,0
"96","waghaz",0,0,0,0.0476190476190476,1,0,0,0,0,4,4,1,0
"97","wal_e_muhammad_e_shahid",0,0.111111111111111,0,0,1,0,0,0,0,4,4,1,0
"98","watapur",0,0.125,0,0.0416666666666667,0.958333333333333,0,0,0,0,4,4,1,0
"99","zheray",0.391304347826087,0.260869565217391,0,0,0.695652173913043,2,1,0,0,2,5,2,0
"100","zurmat",0.0238095238095238,0.0476190476190476,0,0.0714285714285714,0.857142857142857,0,0,0,0,4,4,1,0
