"","district_reporting","hunger_extreme_perc","hunger_severe_perc","borrow_extreme_perc","borrow_severe_perc","reduced_food_extreme_perc","reduced_food_severe_perc","livestock_impact_extreme_perc","livestock_impact_severe_perc","ag_impact_extreme_perc","ag_impact_severe_perc","hunger_extreme","hunger_severe","borrow_extreme","borrow_severe","reduced_food_extreme","reduced_food_severe","livestock_impact_extreme","livestock_impact_severe","ag_impact_extreme","ag_impact_severe","htr_fsa_score","htr_fsa_rank","htr_fsa_rank_high"
"1","ab_band",0,0.111111111111111,0,0.166666666666667,0,0.0555555555555556,0.333333333333333,0.111111111111111,0,0.111111111111111,0,0,0,0,0,0,3,0,0,0,3,1,0
"2","alishang",0.0606060606060606,0.242424242424242,0.181818181818182,0.545454545454545,0.0303030303030303,0.121212121212121,0.424242424242424,0.393939393939394,0.0303030303030303,0.424242424242424,0,2,0,2,0,0,3,1,0,1,9,2,0
"3","almar",0,0.111111111111111,0.138888888888889,0.638888888888889,0.0555555555555556,0.666666666666667,0,0.0555555555555556,0,0.0277777777777778,0,0,0,2,0,2,0,0,0,0,4,1,0
"4","andar",0,0.0454545454545455,0.159090909090909,0.704545454545455,0.318181818181818,0.545454545454545,0.113636363636364,0.159090909090909,0.0681818181818182,0.568181818181818,0,0,0,2,2,2,0,0,0,2,8,1,0
"5","andkhoy",0,0,0,0.136363636363636,0.0454545454545455,0.181818181818182,0.454545454545455,0,0.0454545454545455,0.454545454545455,0,0,0,0,0,0,3,0,0,1,4,1,0
"6","arghandab_zabul",0,0.09375,0.03125,0.34375,0,0.09375,0,0.09375,0,0.0625,0,0,0,1,0,0,0,0,0,0,1,1,0
"7","arghestan",0.122448979591837,0.387755102040816,0.244897959183673,0.489795918367347,0.285714285714286,0.224489795918367,0.428571428571429,0.346938775510204,0.122448979591837,0.142857142857143,0,4,0,1,2,0,3,1,0,0,11,2,0
"8","baghlan_e_jadid",0,0.0212765957446809,0,0,0,0,0.191489361702128,0.361702127659574,0.0425531914893617,0,0,0,0,0,0,0,0,1,0,0,1,1,0
"9","baghran",0.0263157894736842,0.289473684210526,0.0263157894736842,0.394736842105263,0.0789473684210526,0.263157894736842,0.210526315789474,0.157894736842105,0.0526315789473684,0.157894736842105,0,2,0,1,0,1,0,0,0,0,4,1,0
"10","bakwa",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"11","bala_buluk",0,0,0.0333333333333333,0.7,0.0333333333333333,0.766666666666667,0.8,0.1,0.133333333333333,0.533333333333333,0,0,0,2,0,2,6,0,0,2,12,2,0
"12","bala_murghab",0.0294117647058824,0.970588235294118,0.529411764705882,0.382352941176471,0.0588235294117647,0.588235294117647,0.382352941176471,0.294117647058824,0.176470588235294,0.323529411764706,0,4,4,1,0,2,3,1,0,1,16,2,0
"13","bar_kunar",0,0,0,0,0,0,0.133333333333333,0.2,0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14","barmal",0.0294117647058824,0.147058823529412,0.0294117647058824,0.529411764705882,0.117647058823529,0.470588235294118,0.676470588235294,0.235294117647059,0.0882352941176471,0.352941176470588,0,0,0,2,0,1,6,0,0,1,10,2,0
"15","bilcheragh",0,0,0,0,0,0,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"16","chahar_darah",0,0.745098039215686,0,0.686274509803922,0,0.627450980392157,0.0196078431372549,0.137254901960784,0,0.254901960784314,0,4,0,2,0,2,0,0,0,0,8,1,0
"17","chak_e_wardak",0,0.108108108108108,0.459459459459459,0.027027027027027,0.108108108108108,0.135135135135135,0,0.594594594594595,0.0540540540540541,0.378378378378378,0,0,2,0,0,0,0,2,0,1,5,1,0
"18","chapa_dara",0,0.260869565217391,0.0869565217391304,0.478260869565217,0.0869565217391304,0.217391304347826,0.391304347826087,0.260869565217391,0.391304347826087,0.0434782608695652,0,2,0,1,0,0,3,1,2,0,9,2,0
"19","chaparhar",0,0,0,0.219512195121951,0,0.024390243902439,0.0487804878048781,0.121951219512195,0.24390243902439,0.51219512195122,0,0,0,0,0,0,0,0,0,2,2,1,0
"20","charsadra",0,0.6,0,0.333333333333333,0,0.266666666666667,0.2,0.533333333333333,0,0,0,4,0,1,0,1,0,2,0,0,8,1,0
"21","chinarto",0,0,0,0.0588235294117647,0,0,0.0588235294117647,0.235294117647059,0.235294117647059,0.352941176470588,0,0,0,0,0,0,0,0,0,1,1,1,0
"22","chora",0,0.666666666666667,0.166666666666667,0.75,0.666666666666667,0.25,0,0.166666666666667,0.416666666666667,0.333333333333333,0,4,0,2,4,0,0,0,2,1,13,2,0
"23","dahana_e_ghori",0,0,0,0,0,0,0.64,0.28,0,0,0,0,0,0,0,0,6,1,0,0,7,1,0
"24","dara_e_pech",0,1,0,0.235294117647059,0,0.0294117647058824,0.0588235294117647,0.147058823529412,0,0,0,4,0,0,0,0,0,0,0,0,4,1,0
"25","dasht_e_archi",0,0.423076923076923,0,0.846153846153846,0.0384615384615385,0.269230769230769,0.230769230769231,0.653846153846154,0.192307692307692,0.384615384615385,0,4,0,2,0,1,0,2,0,1,10,2,0
"26","dawlat_abad_faryab",0,0.214285714285714,0.0714285714285714,0.857142857142857,0.357142857142857,0.642857142857143,0.928571428571429,0,0.214285714285714,0.142857142857143,0,2,0,2,2,2,6,0,0,0,14,2,0
"27","daychopan",0,0,0,0,0,0,0,0.153846153846154,0.0769230769230769,0.230769230769231,0,0,0,0,0,0,0,0,0,0,0,1,0
"28","deh_bala",0.0384615384615385,0.461538461538462,0.230769230769231,0.730769230769231,0.0384615384615385,0.307692307692308,0.346153846153846,0,0.230769230769231,0.0769230769230769,0,4,0,2,0,1,3,0,0,0,10,2,0
"29","deh_e_shu",0,0,0.34375,0.46875,0.40625,0.34375,0.125,0.6875,0.46875,0.0625,0,0,2,1,2,1,0,2,2,0,10,2,0
"30","deh_yak",0,0.0666666666666667,0.0666666666666667,0,0.0666666666666667,0,0.133333333333333,0.533333333333333,0,0.133333333333333,0,0,0,0,0,0,0,2,0,0,2,1,0
"31","dehrawud",0.04,0.4,0,0.44,0,0.2,0.04,0,0,0,0,4,0,1,0,0,0,0,0,0,5,1,0
"32","eshkmesh",0,0.75,0.3125,0.5,0.125,0.8125,0.5,0.5,0.5,0.1875,0,4,2,1,0,2,3,1,2,0,15,2,0
"33","farah",0.0606060606060606,0.363636363636364,0.121212121212121,0.696969696969697,0.0303030303030303,0.303030303030303,0.393939393939394,0.181818181818182,0,0.0606060606060606,0,4,0,2,0,1,3,0,0,0,10,2,0
"34","garmser",0,0.138888888888889,0,0.25,0.0833333333333333,0.222222222222222,0.0555555555555556,0.944444444444444,0.194444444444444,0.611111111111111,0,0,0,0,0,0,0,2,0,2,4,1,0
"35","garzewan",0.0333333333333333,0.9,0.133333333333333,0.733333333333333,0,0.466666666666667,0.4,0.266666666666667,0.0666666666666667,0.2,0,4,0,2,0,1,3,1,0,0,11,2,0
"36","ghazi_abad",0.0434782608695652,0.0869565217391304,0.0434782608695652,0.347826086956522,0,0,0.0869565217391304,0.217391304347826,0,0.0869565217391304,0,0,0,1,0,0,0,0,0,0,1,1,0
"37","ghorak",0,0,0.176470588235294,0.352941176470588,0.235294117647059,0.411764705882353,0,0.823529411764706,0.176470588235294,0.0588235294117647,0,0,0,1,0,1,0,2,0,0,4,1,0
"38","ghormach",0.0833333333333333,0.541666666666667,0,0.416666666666667,0.0416666666666667,0.208333333333333,0.291666666666667,0.208333333333333,0,0.0833333333333333,0,4,0,1,0,0,3,0,0,0,8,1,0
"39","giro",0,0,0.0952380952380952,0.619047619047619,0.238095238095238,0.476190476190476,0,0,0.0952380952380952,0.19047619047619,0,0,0,2,0,1,0,0,0,0,3,1,0
"40","gomal",0.0285714285714286,0.2,0.2,0.485714285714286,0.228571428571429,0.257142857142857,0.485714285714286,0.285714285714286,0.171428571428571,0.628571428571429,0,2,0,1,0,1,3,1,0,2,10,2,0
"41","hesarak",0.0303030303030303,0.181818181818182,0,0.424242424242424,0,0.424242424242424,0.151515151515152,0.212121212121212,0.242424242424242,0.181818181818182,0,2,0,1,0,1,0,0,0,0,4,1,0
"42","imam_sahib",0,0.5,0.1,0.3,0.0333333333333333,0.383333333333333,0.216666666666667,0.133333333333333,0.116666666666667,0.133333333333333,0,4,0,1,0,1,0,0,0,0,6,1,0
"43","jawand",0,0.611111111111111,0.0138888888888889,0.152777777777778,0.0694444444444444,0.111111111111111,0.222222222222222,0.583333333333333,0.0138888888888889,0.0972222222222222,0,4,0,0,0,0,0,2,0,0,6,1,0
"44","jorm",0,0.125,0.666666666666667,0.291666666666667,0.416666666666667,0.458333333333333,0.166666666666667,0.791666666666667,0.416666666666667,0.291666666666667,0,0,4,1,2,1,0,2,2,1,13,2,0
"45","kakar",0,0.027027027027027,0,0.027027027027027,0,0.0810810810810811,0.0540540540540541,0.918918918918919,0,0,0,0,0,0,0,0,0,2,0,0,2,1,0
"46","khak_e_safed",0.125,0.5625,0.1875,0.5625,0.3125,0.5625,0.1875,0.125,0,0.25,0,4,0,2,2,2,0,0,0,0,10,2,0
"47","khakrez",0,0.166666666666667,0,0.361111111111111,0.0277777777777778,0.222222222222222,0.222222222222222,0.166666666666667,0,0.333333333333333,0,2,0,1,0,0,0,0,0,1,4,1,0
"48","khan_abad",0,0.107142857142857,0.25,0.357142857142857,0.0357142857142857,0.142857142857143,0.214285714285714,0.107142857142857,0.107142857142857,0.214285714285714,0,0,0,1,0,0,0,0,0,0,1,1,0
"49","khas_kunar",0.1,0.55,0.75,0.25,0.1,0.1,0.25,0.2,0,0.3,0,4,4,0,0,0,0,0,0,1,9,2,0
"50","khas_uruzgan",0.0434782608695652,0.0869565217391304,0.130434782608696,0.652173913043478,0.0869565217391304,0.347826086956522,0.152173913043478,0.239130434782609,0.0217391304347826,0.5,0,0,0,2,0,1,0,0,0,1,4,1,0
"51","khogyani",0,0.0512820512820513,0,0.41025641025641,0.0256410256410256,0.0769230769230769,0.0512820512820513,0.615384615384615,0.153846153846154,0.179487179487179,0,0,0,1,0,0,0,2,0,0,3,1,0
"52","khwaja_gahr",0,0.807692307692308,0.230769230769231,0.653846153846154,0.461538461538462,0.5,0.807692307692308,0.0384615384615385,0,0.269230769230769,0,4,0,2,2,1,6,0,0,1,16,2,0
"53","khwaja_sabz_posh",0,0.6,0.05,0.25,0,0.05,1,0,0.25,0.2,0,4,0,0,0,0,6,0,0,0,10,2,0
"54","kot",0,0.5,0.857142857142857,0.0714285714285714,0.714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0.0714285714285714,0,4,4,0,4,0,0,1,0,0,13,2,0
"55","lashkargah",0,0.151515151515152,0.0303030303030303,0.303030303030303,0.0606060606060606,0.363636363636364,0.303030303030303,0.0303030303030303,0,0.272727272727273,0,0,0,1,0,1,3,0,0,1,6,1,0
"56","marawara",0.266666666666667,0.4,0.6,0.333333333333333,0.333333333333333,0.333333333333333,0.2,0.133333333333333,0.333333333333333,0.133333333333333,4,4,4,1,2,1,0,0,2,0,18,2,0
"57","maruf",0,0.428571428571429,0.116883116883117,0.506493506493506,0,0.298701298701299,0.519480519480519,0.0909090909090909,0.116883116883117,0.324675324675325,0,4,0,2,0,1,6,0,0,1,14,2,0
"58","maywand",0,0.0909090909090909,0.227272727272727,0.636363636363636,0.340909090909091,0.522727272727273,0.159090909090909,0.659090909090909,0.181818181818182,0.545454545454545,0,0,0,2,2,2,0,2,0,2,10,2,0
"59","mohammad_agha",0,0,0.131578947368421,0.289473684210526,0,0.0263157894736842,0,0.210526315789474,0.184210526315789,0.552631578947368,0,0,0,1,0,0,0,0,0,2,3,1,0
"60","muhmand_dara",0,0.411764705882353,0.235294117647059,0.588235294117647,0.352941176470588,0.529411764705882,0,0.0588235294117647,0,0,0,4,0,2,2,2,0,0,0,0,10,2,0
"61","muqur_badghis",0.0833333333333333,0.0833333333333333,0,0.416666666666667,0,0,0,0,0.0833333333333333,0.333333333333333,0,0,0,1,0,0,0,0,0,1,2,1,0
"62","muqur_ghazni",0,0.206896551724138,0,0.206896551724138,0,0.0344827586206897,0.0344827586206897,0.0344827586206897,0,0,0,2,0,0,0,0,0,0,0,0,2,1,0
"63","musa_qala",0,0.851851851851852,0.111111111111111,0.888888888888889,0.148148148148148,0.851851851851852,0.037037037037037,0,0,0,0,4,0,2,0,2,0,0,0,0,8,1,0
"64","nad_e_ali",0,0,0,0,0,0.0625,0,0.0625,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"65","nahr_e_seraj",0,0.0579710144927536,0,0.376811594202899,0.0144927536231884,0.608695652173913,0.246376811594203,0.0579710144927536,0.0144927536231884,0.304347826086957,0,0,0,1,0,2,0,0,0,1,4,1,0
"66","nawzad",0,0.511111111111111,0,0.288888888888889,0,0.244444444444444,0.2,0.288888888888889,0.0444444444444444,0.155555555555556,0,4,0,1,0,0,0,1,0,0,6,1,0
"67","nesh",0,0.272727272727273,0,1,0,0.909090909090909,0,0.0909090909090909,0,0.909090909090909,0,2,0,2,0,2,0,0,0,2,8,1,0
"68","pasaband",0,0.183673469387755,0.0816326530612245,0.755102040816326,0.122448979591837,0.693877551020408,0.0408163265306122,0.755102040816326,0.0204081632653061,0.469387755102041,0,2,0,2,0,2,0,2,0,1,9,2,0
"69","pashtun_kot",0.0701754385964912,0.175438596491228,0.157894736842105,0.43859649122807,0.140350877192982,0.508771929824561,0.192982456140351,0.491228070175439,0.0526315789473684,0.263157894736842,0,2,0,1,0,2,0,1,0,1,7,1,0
"70","pul_e_khumri",0,0,0,0,0,0,0.909090909090909,0,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0
"71","pur_chaman",0.0158730158730159,0.222222222222222,0.206349206349206,0.444444444444444,0.0793650793650794,0.507936507936508,0.46031746031746,0.111111111111111,0.174603174603175,0.142857142857143,0,2,0,1,0,2,3,0,0,0,8,1,0
"72","pusht_rod",0,0,0,0,0,0,0.25,0.0833333333333333,0,0.166666666666667,0,0,0,0,0,0,0,0,0,0,0,1,0
"73","qaisar",0.0697674418604651,0.209302325581395,0.0697674418604651,0.395348837209302,0.27906976744186,0.465116279069767,0.13953488372093,0.441860465116279,0.13953488372093,0.325581395348837,0,2,0,1,2,1,0,1,0,1,8,1,0
"74","qala_e_zal",0,0,0.05,0.1,0,0.05,0.05,0.1,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,1,0
"75","qarabagh",0.0126582278481013,0.10126582278481,0.0126582278481013,0.278481012658228,0.0253164556962025,0.189873417721519,0.164556962025316,0.291139240506329,0.0379746835443038,0.291139240506329,0,0,0,1,0,0,0,1,0,1,3,1,0
"76","raghestan",0,0,0.0303030303030303,0.0606060606060606,0,0,0.818181818181818,0.0909090909090909,0,0.272727272727273,0,0,0,0,0,0,6,0,0,1,7,1,0
"77","reg",0,0.55,0.1,0.7,0.35,0.55,0.05,0.05,0,0,0,4,0,2,2,2,0,0,0,0,10,2,0
"78","reg_i_khan_nishin",0,0.235294117647059,0.176470588235294,0.294117647058824,0.176470588235294,0.352941176470588,0.176470588235294,0.117647058823529,0.235294117647059,0.0588235294117647,0,2,0,1,0,1,0,0,0,0,4,1,0
"79","rostaq",0,0.0227272727272727,0,0.386363636363636,0,0.0909090909090909,0,0.136363636363636,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0
"80","sabari",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"81","sangin",0,0,0.259259259259259,0.481481481481481,0.037037037037037,0.481481481481481,0.111111111111111,0.592592592592593,0.259259259259259,0.222222222222222,0,0,2,1,0,1,0,2,2,0,8,1,0
"82","sarobi",0.0333333333333333,0.533333333333333,0.133333333333333,0.833333333333333,0.1,0.866666666666667,0.333333333333333,0.533333333333333,0.0333333333333333,0.9,0,4,0,2,0,2,3,2,0,2,15,2,0
"83","sayed_abad",0,0.533333333333333,0.366666666666667,0.466666666666667,0.0333333333333333,0.133333333333333,0.333333333333333,0.3,0.0666666666666667,0.1,0,4,2,1,0,0,3,1,0,0,11,2,0
"84","shah_joi",0,0,0,0.209302325581395,0,0.0232558139534884,0.930232558139535,0.0697674418604651,0,0,0,0,0,0,0,0,6,0,0,0,6,1,0
"85","shah_wali_kot",0.0714285714285714,0.232142857142857,0.0357142857142857,0.642857142857143,0.0178571428571429,0.5,0.482142857142857,0.125,0.196428571428571,0.482142857142857,0,2,0,2,0,1,3,0,0,1,9,2,0
"86","shahid_e_hassas",0,0.578947368421053,0,0.684210526315789,0,0.578947368421053,0.263157894736842,0.157894736842105,0.105263157894737,0.736842105263158,0,4,0,2,0,2,3,0,0,2,13,2,0
"87","sheltan",0,0.333333333333333,0.333333333333333,0.444444444444444,0.333333333333333,0.333333333333333,0.555555555555556,0.333333333333333,0.111111111111111,0.333333333333333,0,4,2,1,2,1,6,1,0,1,18,2,0
"88","sher_zad",0,0.354838709677419,0.193548387096774,0.548387096774194,0.0645161290322581,0.612903225806452,0.67741935483871,0.258064516129032,0.580645161290323,0.290322580645161,0,4,0,2,0,2,6,1,4,1,20,3,1
"89","shigal",0,0.148148148148148,0,0.777777777777778,0.037037037037037,0.333333333333333,0,0,0,0.037037037037037,0,0,0,2,0,1,0,0,0,0,3,1,0
"90","shindand",0,0.588235294117647,0.117647058823529,0.764705882352941,0.0588235294117647,0.764705882352941,0.647058823529412,0.294117647058824,0.117647058823529,0.823529411764706,0,4,0,2,0,2,6,1,0,2,17,2,0
"91","shirin_tagab",0,0.0434782608695652,0,0.173913043478261,0,0,0.347826086956522,0.652173913043478,0,0.0434782608695652,0,0,0,0,0,0,3,2,0,0,5,1,0
"92","sozmaqala",0,0.0196078431372549,0,0.568627450980392,0,0.372549019607843,0.627450980392157,0.0784313725490196,0.0196078431372549,0.0588235294117647,0,0,0,2,0,1,6,0,0,0,9,2,0
"93","surkh_rod",0,0,0.146341463414634,0.731707317073171,0.268292682926829,0.609756097560976,0.146341463414634,0.024390243902439,0.170731707317073,0.024390243902439,0,0,0,2,2,2,0,0,0,0,6,1,0
"94","tirinkot",0,0.517241379310345,0,0.896551724137931,0,0.896551724137931,0.206896551724138,0.724137931034483,0,0.931034482758621,0,4,0,2,0,2,0,2,0,2,12,2,0
"95","urgun",0,0.0625,0,0.15625,0,0.21875,0.6875,0.28125,0.0625,0.21875,0,0,0,0,0,0,6,1,0,0,7,1,0
"96","waghaz",0.19047619047619,0.333333333333333,0.523809523809524,0.19047619047619,0.380952380952381,0.285714285714286,0.0476190476190476,0,0.0476190476190476,0,4,4,4,0,2,1,0,0,0,0,15,2,0
"97","wal_e_muhammad_e_shahid",0.111111111111111,0.111111111111111,0.222222222222222,0.5,0,0.222222222222222,0.555555555555556,0.444444444444444,0.0555555555555556,0.166666666666667,0,0,0,1,0,0,6,1,0,0,8,1,0
"98","watapur",0,0.875,0.583333333333333,0.25,0.333333333333333,0.375,0.291666666666667,0.375,0.5,0.208333333333333,0,4,4,0,2,1,3,1,2,0,17,2,0
"99","zheray",0,0.782608695652174,0,0.739130434782609,0,0.782608695652174,0.0434782608695652,0.0434782608695652,0,0.260869565217391,0,4,0,2,0,2,0,0,0,1,9,2,0
"100","zurmat",0,0.380952380952381,0.19047619047619,0.571428571428571,0.0714285714285714,0.214285714285714,0.0238095238095238,0.238095238095238,0,0.285714285714286,0,4,0,2,0,0,0,0,0,1,7,1,0
