"","district_reporting","more_people_died_perc","health_functioning_access_perc","health_closed_perc","birth_hospital_perc","health_prio_perc","more_people_died","health_functioning_access","health_closed","birth_hospital","health_prio","htr_health_score","htr_health_rank","htr_health_rank_high"
"1","ab_band",0.388888888888889,0.333333333333333,0.5,0.222222222222222,0.333333333333333,1,3,6,0,2,12,3,1
"2","alishang",0.575757575757576,0,0.0606060606060606,0.272727272727273,0.636363636363636,2,0,0,1,4,7,2,0
"3","almar",0.0833333333333333,0.388888888888889,0.222222222222222,0.444444444444444,0.777777777777778,0,3,0,1,6,10,3,1
"4","andar",0.0227272727272727,0.727272727272727,0.181818181818182,0.704545454545455,0.613636363636364,0,6,0,2,4,12,3,1
"5","andkhoy",0.181818181818182,0.181818181818182,0.0454545454545455,0.181818181818182,0.454545454545455,0,0,0,0,2,2,1,0
"6","arghandab_zabul",0.25,0.78125,0.03125,1,0.34375,1,9,0,3,2,15,4,1
"7","arghestan",0.530612244897959,0.918367346938776,0.0204081632653061,0.918367346938776,0.73469387755102,2,9,0,3,4,18,4,1
"8","baghlan_e_jadid",0.0212765957446809,0.127659574468085,0.0638297872340425,0.106382978723404,0.148936170212766,0,0,0,0,0,0,1,0
"9","baghran",0.289473684210526,0.710526315789474,0.0526315789473684,0.921052631578947,0.631578947368421,1,6,0,3,4,14,3,1
"10","bakwa",0.2,0.36,0.04,0.4,0.8,0,3,0,1,6,10,3,1
"11","bala_buluk",0.0333333333333333,0.666666666666667,0.3,0.766666666666667,1,0,6,3,3,6,18,4,1
"12","bala_murghab",0.147058823529412,0.882352941176471,0.176470588235294,0.970588235294118,0.470588235294118,0,9,0,3,2,14,3,1
"13","bar_kunar",0,0.666666666666667,0,0.133333333333333,0.6,0,6,0,0,4,10,3,1
"14","barmal",0,0.764705882352941,0.147058823529412,0.941176470588235,0.676470588235294,0,9,0,3,4,16,4,1
"15","bilcheragh",0.166666666666667,0.166666666666667,0,0.5,0.833333333333333,0,0,0,2,6,8,2,0
"16","chahar_darah",0.980392156862745,0.862745098039216,0.0980392156862745,0.764705882352941,0.803921568627451,3,9,0,3,6,21,21,21
"17","chak_e_wardak",0.486486486486487,0.108108108108108,0.675675675675676,0.540540540540541,0.837837837837838,1,0,6,2,6,15,4,1
"18","chapa_dara",0.217391304347826,0.565217391304348,0.173913043478261,0.782608695652174,0.260869565217391,0,6,0,3,2,11,3,1
"19","chaparhar",0.024390243902439,0.0731707317073171,0.146341463414634,0.609756097560976,0.609756097560976,0,0,0,2,4,6,2,0
"20","charsadra",0.733333333333333,0.733333333333333,0.0666666666666667,0.866666666666667,0.733333333333333,2,6,0,3,4,15,4,1
"21","chinarto",1,0.941176470588235,0.176470588235294,0.941176470588235,0.705882352941177,3,9,0,3,4,19,4,1
"22","chora",1,0.666666666666667,1,0.75,0.833333333333333,3,6,9,3,6,27,27,27
"23","dahana_e_ghori",0.56,0.68,0.04,0.56,0.04,2,6,0,2,0,10,3,1
"24","dara_e_pech",1,0.558823529411765,0.0588235294117647,0.5,1,3,6,0,2,6,17,4,1
"25","dasht_e_archi",0.153846153846154,0,0.0769230769230769,0.307692307692308,0.307692307692308,0,0,0,1,2,3,1,0
"26","dawlat_abad_faryab",0.928571428571429,0.785714285714286,0.5,0.857142857142857,0.714285714285714,3,9,6,3,4,25,25,25
"27","daychopan",0.0384615384615385,1,0,0.923076923076923,0.846153846153846,0,9,0,3,6,18,4,1
"28","deh_bala",0.115384615384615,0.307692307692308,0.192307692307692,0.307692307692308,0.576923076923077,0,3,0,1,4,8,2,0
"29","deh_e_shu",0,0.9375,0,0.9375,1,0,9,0,3,6,18,4,1
"30","deh_yak",0.133333333333333,0.133333333333333,0,0.533333333333333,0.6,0,0,0,2,4,6,2,0
"31","dehrawud",0,0.44,0.04,0.52,0.92,0,3,0,2,6,11,3,1
"32","eshkmesh",0.375,0.4375,0.875,0.4375,0.1875,1,3,9,1,0,14,3,1
"33","farah",0.121212121212121,0.424242424242424,0.0909090909090909,0.151515151515152,0.848484848484849,0,3,0,0,6,9,3,1
"34","garmser",0,0.0277777777777778,0.638888888888889,0.916666666666667,0.222222222222222,0,0,6,3,0,9,3,1
"35","garzewan",0.833333333333333,0.3,0.0666666666666667,0.8,0.9,3,3,0,3,6,15,4,1
"36","ghazi_abad",0.391304347826087,0.521739130434783,0,0.565217391304348,0.565217391304348,1,6,0,2,4,13,3,1
"37","ghorak",0.352941176470588,0.176470588235294,0.352941176470588,0.529411764705882,0.823529411764706,1,0,3,2,6,12,3,1
"38","ghormach",0.125,0.5,0.0416666666666667,0.291666666666667,0.875,0,6,0,1,6,13,3,1
"39","giro",0.142857142857143,0.285714285714286,0.0476190476190476,0.952380952380952,0.904761904761905,0,3,0,3,6,12,3,1
"40","gomal",0.457142857142857,0.685714285714286,0,0.885714285714286,0.6,1,6,0,3,4,14,3,1
"41","hesarak",0.636363636363636,0.212121212121212,0.424242424242424,0.575757575757576,0.545454545454545,2,0,3,2,4,11,3,1
"42","imam_sahib",0.25,0.5,0.0833333333333333,0.783333333333333,0.85,1,6,0,3,6,16,4,1
"43","jawand",0.263888888888889,0.583333333333333,0.125,0.708333333333333,0.958333333333333,1,6,0,2,6,15,4,1
"44","jorm",0.458333333333333,0.291666666666667,0.125,0.25,0.583333333333333,1,3,0,1,4,9,3,1
"45","kakar",0.162162162162162,0.945945945945946,0.027027027027027,1,1,0,9,0,3,6,18,4,1
"46","khak_e_safed",0.4375,0.0625,0.6875,0.8125,1,1,0,6,3,6,16,4,1
"47","khakrez",0.0833333333333333,0.888888888888889,0.0833333333333333,0.888888888888889,0.888888888888889,0,9,0,3,6,18,4,1
"48","khan_abad",0.285714285714286,0.285714285714286,0.142857142857143,0.464285714285714,0.678571428571429,1,3,0,1,4,9,3,1
"49","khas_kunar",0.25,0.1,0.05,0.35,0.5,1,0,0,1,4,6,2,0
"50","khas_uruzgan",0.304347826086957,0.41304347826087,0.260869565217391,0.565217391304348,0.673913043478261,1,3,3,2,4,13,3,1
"51","khogyani",0.102564102564103,0.846153846153846,0.0769230769230769,0.717948717948718,0.871794871794872,0,9,0,2,6,17,4,1
"52","khwaja_gahr",0.230769230769231,0.0769230769230769,0,0.153846153846154,0.961538461538462,0,0,0,0,6,6,2,0
"53","khwaja_sabz_posh",0.4,0.9,0.1,0.1,0.9,1,9,0,0,6,16,4,1
"54","kot",0.357142857142857,0.428571428571429,0,0.142857142857143,0.357142857142857,1,3,0,0,2,6,2,0
"55","lashkargah",0.121212121212121,0,0.333333333333333,0.757575757575758,0.515151515151515,0,0,3,3,4,10,3,1
"56","marawara",0.666666666666667,0.6,0,0.333333333333333,0.733333333333333,2,6,0,1,4,13,3,1
"57","maruf",0.337662337662338,0.922077922077922,0.025974025974026,0.909090909090909,0.961038961038961,1,9,0,3,6,19,4,1
"58","maywand",0.0909090909090909,0.931818181818182,0,0.886363636363636,0.840909090909091,0,9,0,3,6,18,4,1
"59","mohammad_agha",0,0.342105263157895,0.842105263157895,0.421052631578947,0.5,0,3,9,1,4,17,4,1
"60","muhmand_dara",0,0.235294117647059,0.0588235294117647,0.705882352941177,0.823529411764706,0,0,0,2,6,8,2,0
"61","muqur_badghis",0.583333333333333,0.5,0.0833333333333333,0.666666666666667,0.5,2,6,0,2,4,14,3,1
"62","muqur_ghazni",0.275862068965517,0.0689655172413793,0.103448275862069,0.172413793103448,0.724137931034483,1,0,0,0,4,5,2,0
"63","musa_qala",0,0.925925925925926,0.296296296296296,0.962962962962963,0.555555555555556,0,9,3,3,4,19,4,1
"64","nad_e_ali",0.0625,0.125,0.25,0.875,0.625,0,0,3,3,4,10,3,1
"65","nahr_e_seraj",0.855072463768116,0,0.115942028985507,0.695652173913043,0.927536231884058,3,0,0,2,6,11,3,1
"66","nawzad",0.0444444444444444,0.577777777777778,0.2,1,0.755555555555556,0,6,0,3,6,15,4,1
"67","nesh",0,0.818181818181818,0,0.454545454545455,0.818181818181818,0,9,0,1,6,16,4,1
"68","pasaband",0.510204081632653,0.795918367346939,0.183673469387755,0.918367346938776,0.816326530612245,2,9,0,3,6,20,4,1
"69","pashtun_kot",0.350877192982456,0.421052631578947,0.666666666666667,0.87719298245614,0.456140350877193,1,3,6,3,2,15,4,1
"70","pul_e_khumri",0.909090909090909,0.340909090909091,0.363636363636364,0.522727272727273,0.0227272727272727,3,3,3,2,0,11,3,1
"71","pur_chaman",0.0793650793650794,0.53968253968254,0.174603174603175,0.523809523809524,0.619047619047619,0,6,0,2,4,12,3,1
"72","pusht_rod",0,0.833333333333333,0,0,0.916666666666667,0,9,0,0,6,15,4,1
"73","qaisar",0.372093023255814,0.27906976744186,0.488372093023256,0.255813953488372,0.441860465116279,1,3,3,1,2,10,3,1
"74","qala_e_zal",0.1,0.05,0.1,0.05,0.3,0,0,0,0,2,2,1,0
"75","qarabagh",0.240506329113924,0.177215189873418,0.0253164556962025,0.113924050632911,0.30379746835443,0,0,0,0,2,2,1,0
"76","raghestan",0.0909090909090909,0.515151515151515,0.0606060606060606,0.606060606060606,1,0,6,0,2,6,14,3,1
"77","reg",0.1,1,0,1,0.9,0,9,0,3,6,18,4,1
"78","reg_i_khan_nishin",0,0.176470588235294,0.117647058823529,0.529411764705882,0.764705882352941,0,0,0,2,6,8,2,0
"79","rostaq",0.5,0.454545454545455,0.0454545454545455,0.704545454545455,0.545454545454545,2,3,0,2,4,11,3,1
"80","sabari",0,0,0,0,0.8,0,0,0,0,6,6,2,0
"81","sangin",0.444444444444444,0.0740740740740741,0.592592592592593,0.777777777777778,0.037037037037037,1,0,6,3,0,10,3,1
"82","sarobi",0.1,0.666666666666667,0,0.833333333333333,0.866666666666667,0,6,0,3,6,15,4,1
"83","sayed_abad",0.1,0.0333333333333333,0.1,0,0.533333333333333,0,0,0,0,4,4,1,0
"84","shah_joi",0.767441860465116,0.0232558139534884,0.13953488372093,0.86046511627907,0.720930232558139,3,0,0,3,4,10,3,1
"85","shah_wali_kot",0.589285714285714,0.392857142857143,0.589285714285714,0.678571428571429,0.696428571428571,2,3,6,2,4,17,4,1
"86","shahid_e_hassas",0.210526315789474,0.263157894736842,0.894736842105263,0.578947368421053,0.210526315789474,0,3,9,2,0,14,3,1
"87","sheltan",0.888888888888889,0.111111111111111,0,0.888888888888889,0.777777777777778,3,0,0,3,6,12,3,1
"88","sher_zad",0.290322580645161,0.580645161290323,0.645161290322581,0.870967741935484,0.741935483870968,1,6,6,3,4,20,4,1
"89","shigal",0.0740740740740741,0.740740740740741,0,0.37037037037037,0.592592592592593,0,6,0,1,4,11,3,1
"90","shindand",0.529411764705882,0.294117647058824,0,0.235294117647059,0.941176470588235,2,3,0,0,6,11,3,1
"91","shirin_tagab",0.91304347826087,0.478260869565217,0.434782608695652,0.0869565217391304,0.739130434782609,3,3,3,0,4,13,3,1
"92","sozmaqala",0.549019607843137,0.0588235294117647,0,0.215686274509804,0.0980392156862745,2,0,0,0,0,2,1,0
"93","surkh_rod",0,0.341463414634146,0.024390243902439,0.170731707317073,0.341463414634146,0,3,0,0,2,5,2,0
"94","tirinkot",0.103448275862069,0.620689655172414,0.931034482758621,0.827586206896552,0.724137931034483,0,6,9,3,4,22,22,22
"95","urgun",0,0.5625,0.0625,0.25,0.5,0,6,0,1,4,11,3,1
"96","waghaz",0.0952380952380952,0.19047619047619,0,0.19047619047619,0.904761904761905,0,0,0,0,6,6,2,0
"97","wal_e_muhammad_e_shahid",0.5,0,0.277777777777778,0,0.333333333333333,2,0,3,0,2,7,2,0
"98","watapur",0.666666666666667,0.916666666666667,0,0.791666666666667,0.708333333333333,2,9,0,3,4,18,4,1
"99","zheray",0,0.130434782608696,0.260869565217391,0.521739130434783,1,0,0,3,2,6,11,3,1
"100","zurmat",0.166666666666667,0.238095238095238,0.0238095238095238,0.619047619047619,0.5,0,0,0,2,4,6,2,0
