"","district_reporting","protect_incident_extreme_perc","protect_incident_severe_perc","gbv_incidents_perc","phys_injury_perc","no_tazkira_perc","explosive_extreme_perc","explosive_severe_perc","explosive_stress_perc","safety_rating_perc","protect_incident_extreme","protect_incident_severe","gbv_incidents","phys_injury","no_tazkira","explosive_extreme","explosive_severe","explosive_stress","safety_rating","htr_prot_score","htr_prot_rank","htr_prot_rank_high"
"1","ab_band",0.944444444444444,0.833333333333333,0.388888888888889,0.611111111111111,0.5,0.444444444444444,0.111111111111111,0.388888888888889,0.277777777777778,6,4,3,6,1,3,0,1,2,26,3,1
"2","alishang",0.545454545454545,0.545454545454545,0.363636363636364,0.636363636363636,0.0303030303030303,0.181818181818182,0.181818181818182,0.181818181818182,0.212121212121212,6,4,3,6,0,0,0,0,0,19,2,0
"3","almar",0.0277777777777778,0.305555555555556,0.0555555555555556,0.111111111111111,0.0833333333333333,0,0,0,0.0277777777777778,0,2,0,0,0,0,0,0,0,2,1,0
"4","andar",1,0.818181818181818,0.318181818181818,0.0681818181818182,0,0.204545454545455,0.204545454545455,0.0227272727272727,0.0681818181818182,6,4,3,0,0,0,0,0,0,13,2,0
"5","andkhoy",0.0454545454545455,0.0909090909090909,0.181818181818182,0.409090909090909,0,0.0909090909090909,0.0454545454545455,0.0909090909090909,0.181818181818182,0,0,0,3,0,0,0,0,0,3,1,0
"6","arghandab_zabul",0.59375,0.8125,0.15625,0,0.0625,0,0,0,0,6,4,0,0,0,0,0,0,0,10,1,0
"7","arghestan",0.877551020408163,0.857142857142857,0.73469387755102,0.775510204081633,0.693877551020408,0.673469387755102,0.673469387755102,0.571428571428571,0.530612244897959,6,4,6,6,2,6,4,2,4,40,4,1
"8","baghlan_e_jadid",0.25531914893617,0.957446808510638,0.957446808510638,0.170212765957447,0,0.148936170212766,0.446808510638298,0.425531914893617,0,3,4,6,0,0,0,2,1,0,16,2,0
"9","baghran",0.447368421052632,0.447368421052632,0.289473684210526,0.5,0.289473684210526,0,0,0,0,3,2,3,3,1,0,0,0,0,12,2,0
"10","bakwa",0.32,0.92,0,0.32,0,0,0.04,0,0.04,3,4,0,3,0,0,0,0,0,10,1,0
"11","bala_buluk",0.733333333333333,0.966666666666667,0,0.666666666666667,0,0.533333333333333,0.566666666666667,0.533333333333333,0.133333333333333,6,4,0,6,0,6,4,2,0,28,3,1
"12","bala_murghab",0.588235294117647,0.264705882352941,0.176470588235294,0.411764705882353,0.852941176470588,0.0882352941176471,0.0882352941176471,0.0294117647058824,0.176470588235294,6,2,0,3,2,0,0,0,0,13,2,0
"13","bar_kunar",0.466666666666667,0.133333333333333,0.0666666666666667,0,0.2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,1,0
"14","barmal",0.676470588235294,0.352941176470588,0,0.352941176470588,0.117647058823529,0.0294117647058824,0,0,0.0294117647058824,6,2,0,3,0,0,0,0,0,11,2,0
"15","bilcheragh",0.833333333333333,1,1,0.5,0,0.166666666666667,0.333333333333333,0.333333333333333,0.333333333333333,6,4,6,3,0,0,2,1,2,24,3,1
"16","chahar_darah",0.0784313725490196,0.0784313725490196,0.0784313725490196,0.235294117647059,0,0.0784313725490196,0.0980392156862745,0.0784313725490196,0.0784313725490196,0,0,0,0,0,0,0,0,0,0,1,0
"17","chak_e_wardak",0.72972972972973,0.810810810810811,0.567567567567568,0.567567567567568,0.027027027027027,0.324324324324324,0.378378378378378,0.135135135135135,0.810810810810811,6,4,6,6,0,3,2,0,4,31,4,1
"18","chapa_dara",0.695652173913043,0.695652173913043,0.434782608695652,0.260869565217391,0.130434782608696,0.217391304347826,0.217391304347826,0.0434782608695652,0.347826086956522,6,4,3,3,0,0,0,0,2,18,2,0
"19","chaparhar",0.560975609756098,0.365853658536585,0.292682926829268,0.219512195121951,0,0.0731707317073171,0.170731707317073,0.146341463414634,0,6,2,3,0,0,0,0,0,0,11,2,0
"20","charsadra",1,1,0.933333333333333,1,0,0.6,0.133333333333333,0,0.0666666666666667,6,4,6,6,0,6,0,0,0,28,3,1
"21","chinarto",1,1,1,1,0.0588235294117647,0.941176470588235,0.882352941176471,1,0.352941176470588,6,4,6,6,0,6,4,2,2,36,4,1
"22","chora",0.583333333333333,0.833333333333333,0.166666666666667,1,0,0.666666666666667,0,0,0.166666666666667,6,4,0,6,0,6,0,0,0,22,3,1
"23","dahana_e_ghori",0.72,1,1,0.64,0.04,0.72,0.72,0.08,0.2,6,4,6,6,0,6,4,0,0,32,4,1
"24","dara_e_pech",0.5,1,1,1,0,0,0.205882352941176,0,0.676470588235294,3,4,6,6,0,0,0,0,4,23,3,1
"25","dasht_e_archi",1,1,0,0.461538461538462,0.384615384615385,0.153846153846154,0.230769230769231,0.0769230769230769,0.115384615384615,6,4,0,3,1,0,0,0,0,14,2,0
"26","dawlat_abad_faryab",1,0.928571428571429,0.428571428571429,0.857142857142857,0,0.714285714285714,0.714285714285714,0.642857142857143,0.571428571428571,6,4,3,6,0,6,4,2,4,35,4,1
"27","daychopan",0.423076923076923,0.769230769230769,0.0384615384615385,0.346153846153846,0.0384615384615385,0.0769230769230769,0.115384615384615,0.0384615384615385,0.269230769230769,3,4,0,3,0,0,0,0,2,12,2,0
"28","deh_bala",0.5,0.461538461538462,0.153846153846154,0.384615384615385,0,0.384615384615385,0.384615384615385,0.346153846153846,0.346153846153846,3,2,0,3,0,3,2,1,2,16,2,0
"29","deh_e_shu",0,0,0.03125,0.03125,0.09375,0.09375,0.0625,0.03125,0,0,0,0,0,0,0,0,0,0,0,1,0
"30","deh_yak",1,1,0.133333333333333,0.533333333333333,0,0.2,0.133333333333333,0.2,0.266666666666667,6,4,0,6,0,0,0,0,2,18,2,0
"31","dehrawud",0,0.08,0,0.04,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"32","eshkmesh",0.625,0.625,1,0.625,0,0.5625,0.5625,0.625,0.3125,6,4,6,6,0,6,4,2,2,36,4,1
"33","farah",0.909090909090909,0.818181818181818,0.727272727272727,0.696969696969697,0,0.181818181818182,0.151515151515152,0.0606060606060606,0.96969696969697,6,4,6,6,0,0,0,0,4,26,3,1
"34","garmser",1,0.944444444444444,1,0.694444444444444,0.0277777777777778,0.972222222222222,0.972222222222222,0.916666666666667,1,6,4,6,6,0,6,4,2,4,38,4,1
"35","garzewan",1,1,0.966666666666667,1,0,0.933333333333333,0.933333333333333,0.9,0.666666666666667,6,4,6,6,0,6,4,2,4,38,4,1
"36","ghazi_abad",0.695652173913043,0.869565217391304,0,0.434782608695652,0.173913043478261,0,0.0434782608695652,0,0,6,4,0,3,0,0,0,0,0,13,2,0
"37","ghorak",0.882352941176471,0.882352941176471,0.176470588235294,0.411764705882353,0,0.588235294117647,0.529411764705882,0.235294117647059,0.117647058823529,6,4,0,3,0,6,4,0,0,23,3,1
"38","ghormach",0.791666666666667,0.875,0.458333333333333,0.625,0.5,0.25,0.416666666666667,0.0416666666666667,0,6,4,3,6,1,0,2,0,0,22,3,1
"39","giro",0.0952380952380952,0.142857142857143,0,0.0476190476190476,0,0.0476190476190476,0.142857142857143,0.19047619047619,0.19047619047619,0,0,0,0,0,0,0,0,0,0,1,0
"40","gomal",0.714285714285714,0.628571428571429,0.171428571428571,0.457142857142857,0.0571428571428571,0.4,0.457142857142857,0.0571428571428571,0.342857142857143,6,4,0,3,0,3,2,0,2,20,2,0
"41","hesarak",0.96969696969697,1,0.787878787878788,0.96969696969697,0,0.575757575757576,0.666666666666667,0.545454545454545,0.272727272727273,6,4,6,6,0,6,4,2,2,36,4,1
"42","imam_sahib",0.433333333333333,0.616666666666667,0.483333333333333,0.35,0.0333333333333333,0.483333333333333,0.483333333333333,0.416666666666667,0.15,3,4,3,3,0,3,2,1,0,19,2,0
"43","jawand",0.930555555555556,0.833333333333333,0.847222222222222,0.458333333333333,0.902777777777778,0.222222222222222,0.583333333333333,0.125,0.347222222222222,6,4,6,3,2,0,4,0,2,27,3,1
"44","jorm",0.875,0.875,0.5,0.833333333333333,0,0.125,0.0833333333333333,0.166666666666667,0.0416666666666667,6,4,3,6,0,0,0,0,0,19,2,0
"45","kakar",0.972972972972973,1,0,1,0.135135135135135,0.027027027027027,0.108108108108108,0.108108108108108,0.027027027027027,6,4,0,6,0,0,0,0,0,16,2,0
"46","khak_e_safed",0.9375,0.75,0.6875,0.75,0.125,0.375,0.5,0.1875,0.625,6,4,6,6,0,3,2,0,4,31,4,1
"47","khakrez",0.666666666666667,0.75,0,0.694444444444444,0.777777777777778,0.111111111111111,0.138888888888889,0.0277777777777778,0.527777777777778,6,4,0,6,2,0,0,0,4,22,3,1
"48","khan_abad",0.571428571428571,0.642857142857143,0.0714285714285714,0.428571428571429,0,0.25,0.0714285714285714,0.178571428571429,0.142857142857143,6,4,0,3,0,0,0,0,0,13,2,0
"49","khas_kunar",0.1,0.05,0.45,0.05,0,0.05,0.05,0,0.05,0,0,3,0,0,0,0,0,0,3,1,0
"50","khas_uruzgan",0.304347826086957,0.0869565217391304,0.195652173913043,0.347826086956522,0.260869565217391,0.217391304347826,0.0217391304347826,0,0.195652173913043,3,0,0,3,1,0,0,0,0,7,1,0
"51","khogyani",0.435897435897436,0.512820512820513,0.333333333333333,0.307692307692308,0.0256410256410256,0.307692307692308,0.384615384615385,0.256410256410256,0.358974358974359,3,4,3,3,0,3,2,1,2,21,3,1
"52","khwaja_gahr",0.615384615384615,0.961538461538462,1,0.769230769230769,0,0.461538461538462,0.423076923076923,0.461538461538462,0.153846153846154,6,4,6,6,0,3,2,1,0,28,3,1
"53","khwaja_sabz_posh",0.8,0.85,0.55,1,0.1,0.8,0.8,0.15,0.05,6,4,6,6,0,6,4,0,0,32,4,1
"54","kot",0,0.0714285714285714,0,0,0,0,0.0714285714285714,0.0714285714285714,0,0,0,0,0,0,0,0,0,0,0,1,0
"55","lashkargah",0.393939393939394,0.484848484848485,0.636363636363636,0.333333333333333,0,0.454545454545455,0.272727272727273,0.303030303030303,0.363636363636364,3,2,6,3,0,3,2,1,2,22,3,1
"56","marawara",0.266666666666667,0.2,0.266666666666667,0.133333333333333,0,0.333333333333333,0.4,0.0666666666666667,0.133333333333333,3,0,3,0,0,3,2,0,0,11,2,0
"57","maruf",0.844155844155844,0.74025974025974,0.0779220779220779,0.168831168831169,0,0.181818181818182,0.909090909090909,0.38961038961039,0.415584415584416,6,4,0,0,0,0,4,1,2,17,2,0
"58","maywand",0.795454545454545,0.454545454545455,0.0227272727272727,0.340909090909091,0.386363636363636,0.409090909090909,0.681818181818182,0.0454545454545455,0.25,6,2,0,3,1,3,4,0,0,19,2,0
"59","mohammad_agha",1,0.947368421052632,0.131578947368421,0.842105263157895,0,0.0263157894736842,0.0263157894736842,0.0263157894736842,0.657894736842105,6,4,0,6,0,0,0,0,4,20,2,0
"60","muhmand_dara",0,0.0588235294117647,0,0.0588235294117647,0,0.117647058823529,0.0588235294117647,0.117647058823529,0,0,0,0,0,0,0,0,0,0,0,1,0
"61","muqur_badghis",0.5,0.666666666666667,0,0.333333333333333,0.166666666666667,0.0833333333333333,0.25,0.166666666666667,0.0833333333333333,3,4,0,3,0,0,0,0,0,10,1,0
"62","muqur_ghazni",0.482758620689655,0.344827586206897,0.241379310344828,0.241379310344828,0.0344827586206897,0.137931034482759,0.275862068965517,0,0.103448275862069,3,2,0,0,0,0,2,0,0,7,1,0
"63","musa_qala",0.62962962962963,0.555555555555556,0.962962962962963,1,0.962962962962963,1,0.037037037037037,0,0.962962962962963,6,4,6,6,2,6,0,0,4,34,4,1
"64","nad_e_ali",0.8125,0.5,0.6875,0.8125,0.5,0.5,0.125,0,0.0625,6,2,6,6,1,3,0,0,0,24,3,1
"65","nahr_e_seraj",0.956521739130435,0.72463768115942,0.463768115942029,0.927536231884058,0.115942028985507,0.652173913043478,0.985507246376812,0.391304347826087,0.115942028985507,6,4,3,6,0,6,4,1,0,30,3,1
"66","nawzad",0.866666666666667,0.733333333333333,0.511111111111111,0.511111111111111,0.688888888888889,0.533333333333333,0.666666666666667,0.2,0.555555555555556,6,4,6,6,2,6,4,0,4,38,4,1
"67","nesh",0.454545454545455,0.272727272727273,0.727272727272727,0,0.272727272727273,0.909090909090909,0.181818181818182,0,0.363636363636364,3,2,6,0,1,6,0,0,2,20,2,0
"68","pasaband",0.897959183673469,0.836734693877551,0.755102040816326,0.63265306122449,0,0.653061224489796,0.73469387755102,0.612244897959184,0.224489795918367,6,4,6,6,0,6,4,2,0,34,4,1
"69","pashtun_kot",0.964912280701754,1,0.666666666666667,0.649122807017544,0.543859649122807,0.473684210526316,0.508771929824561,0.368421052631579,0.087719298245614,6,4,6,6,2,3,4,1,0,32,4,1
"70","pul_e_khumri",1,0.977272727272727,0.954545454545455,0.931818181818182,0,0.909090909090909,1,0.0227272727272727,0.363636363636364,6,4,6,6,0,6,4,0,2,34,4,1
"71","pur_chaman",0.73015873015873,0.984126984126984,0.380952380952381,0.349206349206349,0.158730158730159,0.111111111111111,0.126984126984127,0.111111111111111,0.301587301587302,6,4,3,3,0,0,0,0,2,18,2,0
"72","pusht_rod",0.5,0.5,0.916666666666667,0.166666666666667,0,0,0.0833333333333333,0,0.333333333333333,3,2,6,0,0,0,0,0,2,13,2,0
"73","qaisar",0.744186046511628,0.953488372093023,0.674418604651163,0.488372093023256,0.0697674418604651,0.372093023255814,0.511627906976744,0.534883720930233,0.116279069767442,6,4,6,3,0,3,4,2,0,28,3,1
"74","qala_e_zal",0.05,0.35,0.55,0.55,0,0,0,0,0.05,0,2,6,6,0,0,0,0,0,14,2,0
"75","qarabagh",0.658227848101266,0.620253164556962,0.126582278481013,0.367088607594937,0,0.481012658227848,0.481012658227848,0.240506329113924,0.443037974683544,6,4,0,3,0,3,2,0,2,20,2,0
"76","raghestan",0.0909090909090909,0.666666666666667,0,0.606060606060606,0.0606060606060606,0.424242424242424,0.0303030303030303,0,0.0303030303030303,0,4,0,6,0,3,0,0,0,13,2,0
"77","reg",0.1,0.7,0.1,0.05,0.65,0,0.05,0,0,0,4,0,0,2,0,0,0,0,6,1,0
"78","reg_i_khan_nishin",0.176470588235294,0.705882352941177,0.0588235294117647,0.0588235294117647,0.294117647058824,0.117647058823529,0.823529411764706,0.0588235294117647,0,0,4,0,0,1,0,4,0,0,9,1,0
"79","rostaq",0.136363636363636,0.25,0,0.25,0,0.0227272727272727,0.0454545454545455,0.0454545454545455,0,0,0,0,0,0,0,0,0,0,0,1,0
"80","sabari",0.25,0.3,0,0,0.05,0.05,0.85,0.05,0.8,0,2,0,0,0,0,4,0,4,10,1,0
"81","sangin",0.851851851851852,0.888888888888889,0.296296296296296,0.925925925925926,0.222222222222222,0.851851851851852,0.851851851851852,0.592592592592593,0.851851851851852,6,4,3,6,0,6,4,2,4,35,4,1
"82","sarobi",0.266666666666667,0.0666666666666667,0,0.1,0,0.0333333333333333,0.0333333333333333,0.0333333333333333,0,3,0,0,0,0,0,0,0,0,3,1,0
"83","sayed_abad",0.766666666666667,0.933333333333333,0.3,0.5,0.1,0.3,0.266666666666667,0.166666666666667,0.4,6,4,3,3,0,3,2,0,2,23,3,1
"84","shah_joi",1,1,0.953488372093023,0.883720930232558,0.604651162790698,0.511627906976744,0.488372093023256,0.0465116279069767,0.0697674418604651,6,4,6,6,2,6,2,0,0,32,4,1
"85","shah_wali_kot",0.625,1,0.589285714285714,0.607142857142857,0.0357142857142857,0.875,0.5,0.107142857142857,0.142857142857143,6,4,6,6,0,6,2,0,0,30,3,1
"86","shahid_e_hassas",0.210526315789474,0.157894736842105,0.157894736842105,0.894736842105263,0,0.684210526315789,0.578947368421053,0.210526315789474,0.578947368421053,0,0,0,6,0,6,4,0,4,20,2,0
"87","sheltan",0.333333333333333,0.444444444444444,0.222222222222222,0.555555555555556,0,0.666666666666667,0.666666666666667,0,0.222222222222222,3,2,0,6,0,6,4,0,0,21,3,1
"88","sher_zad",0.935483870967742,0.903225806451613,0,0.806451612903226,0,0.870967741935484,0.870967741935484,0.838709677419355,0.903225806451613,6,4,0,6,0,6,4,2,4,32,4,1
"89","shigal",0.111111111111111,0.444444444444444,0.037037037037037,0,0,0,0,0,0.148148148148148,0,2,0,0,0,0,0,0,0,2,1,0
"90","shindand",0.764705882352941,0.764705882352941,0.117647058823529,0.705882352941177,0,0.0588235294117647,0.0588235294117647,0.0588235294117647,0.823529411764706,6,4,0,6,0,0,0,0,4,20,2,0
"91","shirin_tagab",0.91304347826087,0.91304347826087,1,0.956521739130435,0,0.869565217391304,0.869565217391304,0.826086956521739,0.91304347826087,6,4,6,6,0,6,4,2,4,38,4,1
"92","sozmaqala",0.92156862745098,0.941176470588235,0.588235294117647,0.745098039215686,0,0.196078431372549,0.411764705882353,0.823529411764706,0,6,4,6,6,0,0,2,2,0,26,3,1
"93","surkh_rod",0.51219512195122,0.536585365853659,0.0975609756097561,0.121951219512195,0.024390243902439,0.0975609756097561,0,0.0731707317073171,0,6,4,0,0,0,0,0,0,0,10,1,0
"94","tirinkot",0.862068965517241,0.96551724137931,1,0.931034482758621,0,0.827586206896552,0.862068965517241,0.862068965517241,0,6,4,6,6,0,6,4,2,0,34,4,1
"95","urgun",0.6875,0.8125,0.03125,0.59375,0,0.3125,0.15625,0.09375,0.3125,6,4,0,6,0,3,0,0,2,21,3,1
"96","waghaz",0.285714285714286,0.238095238095238,0.0476190476190476,0.19047619047619,0,0.285714285714286,0.428571428571429,0,0.142857142857143,3,0,0,0,0,3,2,0,0,8,1,0
"97","wal_e_muhammad_e_shahid",0.277777777777778,0.166666666666667,0,0.555555555555556,0,0.0555555555555556,0.166666666666667,0.0555555555555556,0,3,0,0,6,0,0,0,0,0,9,1,0
"98","watapur",0.875,0.5,0.583333333333333,0.125,0,0,0,0,0.791666666666667,6,2,6,0,0,0,0,0,4,18,2,0
"99","zheray",0.521739130434783,1,0.0869565217391304,0.173913043478261,0.0434782608695652,0.608695652173913,0.652173913043478,0.173913043478261,0,6,4,0,0,0,6,4,0,0,20,2,0
"100","zurmat",0.738095238095238,0.80952380952381,0.738095238095238,0.761904761904762,0.0238095238095238,0.880952380952381,0.69047619047619,0.0238095238095238,0.619047619047619,6,4,6,6,0,6,4,0,4,36,4,1
